user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last,bmi,grade_fra
944,CHE,0,167,78,46.0,29,1991-05-31 22:00:00,2017-05-15 22:00:00,101,51,51,62,54,1991,2017,27.97,7b/+
17445,other,0,180,73,48.0,24,1995-09-04 22:00:00,2014-06-25 22:00:00,187,55,57,66,54,1995,2014,22.53,7b/+
59562,BEL,0,173,63,55.0,29,1998-04-30 22:00:00,2003-08-01 22:00:00,18,49,59,62,54,1998,2003,21.05,7b/+
811,DEU,0,173,63,44.0,27,1999-11-05 23:00:00,2003-08-22 22:00:00,49,59,55,62,54,1999,2003,21.05,7b/+
2508,CHE,0,172,58,43.0,26,1999-02-06 23:00:00,2011-10-22 22:00:00,264,62,57,64,54,1999,2011,19.61,7b/+
22449,AUS,0,180,68,43.0,22,1999-04-22 22:00:00,2010-01-24 23:00:00,54,55,51,66,54,1999,2010,20.99,7b/+
164,POL,0,173,73,45.0,26,2000-04-16 22:00:00,2016-09-19 22:00:00,1155,49,56,66,54,2000,2016,24.39,7b/+
403,POL,0,182,78,44.0,27,2000-06-02 22:00:00,2015-09-23 22:00:00,258,59,55,66,54,2000,2015,23.55,7b/+
137,NOR,0,184,78,42.0,17,2000-05-11 22:00:00,2002-12-21 23:00:00,24,53,53,59,54,2000,2002,23.04,7b/+
394,SWE,0,178,63,35.0,19,2000-07-30 22:00:00,2012-05-12 22:00:00,123,59,49,66,54,2000,2012,19.88,7b/+
462,FRA,0,176,68,49.0,22,2000-02-01 23:00:00,2001-10-26 22:00:00,19,49,55,57,54,2000,2001,21.95,7b/+
405,SWE,0,182,73,35.0,17,2000-07-31 22:00:00,2010-05-21 22:00:00,44,62,58,62,54,2000,2010,22.04,7b/+
69,USA,0,183,73,47.0,23,2000-09-30 22:00:00,2002-07-21 22:00:00,36,55,51,62,54,2000,2002,21.8,7b/+
1806,DEU,0,175,68,34.0,19,2001-06-10 22:00:00,2017-08-25 22:00:00,295,49,49,66,54,2001,2017,22.2,7b/+
39475,ESP,0,168,68,44.0,26,2001-08-07 22:00:00,2014-08-16 22:00:00,3,61,51,61,54,2001,2014,24.09,7b/+
2297,ESP,1,163,48,39.0,18,2001-08-10 22:00:00,2002-04-09 22:00:00,3,53,53,55,54,2001,2002,18.07,7b/+
980,DEU,0,170,68,44.0,24,2001-06-30 22:00:00,2006-08-19 22:00:00,36,55,55,62,54,2001,2006,23.53,7b/+
1016,ZAF,0,171,68,33.0,18,2001-06-23 22:00:00,2011-12-02 23:00:00,70,53,64,66,54,2001,2011,23.26,7b/+
660,SWE,0,178,68,46.0,17,2001-01-05 23:00:00,2003-12-21 23:00:00,36,57,51,62,54,2001,2003,21.46,7b/+
659,other,0,182,73,44.0,20,2001-04-04 22:00:00,2017-07-02 22:00:00,207,55,53,64,54,2001,2017,22.04,7b/+
1320,ITA,0,160,58,49.0,22,2001-11-14 23:00:00,2001-10-14 22:00:00,6,59,53,59,54,2001,2001,22.66,7b/+
441,ITA,0,170,68,44.0,25,2001-01-15 23:00:00,2017-04-13 22:00:00,301,70,64,72,54,2001,2017,23.53,7b/+
1498,POL,0,185,68,36.0,18,2001-05-03 22:00:00,2008-07-27 22:00:00,76,53,62,66,54,2001,2008,19.87,7b/+
1503,CHE,0,187,83,36.0,22,2001-09-08 22:00:00,2007-10-04 22:00:00,33,62,53,62,54,2001,2007,23.74,7b/+
747,NOR,0,184,78,44.0,24,2001-03-16 23:00:00,2017-08-10 22:00:00,228,55,44,66,54,2001,2017,23.04,7b/+
3032,other,0,175,68,40.0,20,2002-08-17 22:00:00,2006-11-24 23:00:00,25,62,49,62,54,2002,2006,22.2,7b/+
4211,USA,0,180,78,44.0,19,2002-09-27 22:00:00,2011-03-16 23:00:00,251,62,53,64,54,2002,2011,24.07,7b/+
5842,BRA,0,187,73,34.0,17,2001-12-31 23:00:00,2008-10-31 23:00:00,33,53,51,64,54,2002,2008,20.88,7b/+
3741,POL,0,180,68,37.0,17,2002-11-17 23:00:00,2004-12-25 23:00:00,32,59,49,66,54,2002,2004,20.99,7b/+
3653,AUS,0,175,68,40.0,23,2002-12-28 23:00:00,2017-05-01 22:00:00,648,53,64,64,54,2002,2017,22.2,7b/+
3583,BEL,0,175,63,42.0,27,2002-08-18 22:00:00,2011-11-09 23:00:00,191,49,53,64,54,2002,2011,20.57,7b/+
1736,HRV,0,175,68,41.0,17,2002-01-26 23:00:00,2012-11-16 23:00:00,199,49,51,65,54,2002,2012,22.2,7b/+
1821,DNK,0,180,68,42.0,25,2002-02-10 23:00:00,2010-10-24 22:00:00,76,59,62,66,54,2002,2010,20.99,7b/+
1866,SWE,0,167,63,36.0,21,2002-02-11 23:00:00,2005-03-07 23:00:00,27,62,55,64,54,2002,2005,22.59,7b/+
2536,SWE,0,176,63,32.0,18,2002-08-03 22:00:00,2013-07-31 22:00:00,194,46,59,64,54,2002,2013,20.34,7b/+
