continent,country,country_name,grade_fra_reduced,routes_count
Africa,MAR,Morocco,5c,1
Africa,MAR,Morocco,6a,7
Africa,MAR,Morocco,6a+,7
Africa,MAR,Morocco,6b,1
Africa,MAR,Morocco,6b+,1
Africa,MAR,Morocco,7a,1
Africa,MAR,Morocco,7a+,8
Africa,MAR,Morocco,7b,2
Africa,REU,Réunion,6a,1
Africa,REU,Réunion,6c,1
Africa,REU,Réunion,7a+,3
Africa,REU,Réunion,7b,1
Africa,REU,Réunion,7b+,1
Africa,ZAF,South Africa,5a,58
Africa,ZAF,South Africa,5b,55
Africa,ZAF,South Africa,5c,31
Africa,ZAF,South Africa,6a,75
Africa,ZAF,South Africa,6a+,54
Africa,ZAF,South Africa,6b,53
Africa,ZAF,South Africa,6b+,55
Africa,ZAF,South Africa,6c,49
Africa,ZAF,South Africa,6c+,27
Africa,ZAF,South Africa,7a,57
Africa,ZAF,South Africa,7a+,41
Africa,ZAF,South Africa,7b,40
Africa,ZAF,South Africa,7b+,34
Africa,ZAF,South Africa,7c,24
Africa,ZAF,South Africa,7c+,14
Africa,ZAF,South Africa,8a,7
Africa,ZAF,South Africa,8a+,17
Africa,ZAF,South Africa,8b,6
Africa,ZAF,South Africa,8b+,3
Africa,ZAF,South Africa,8c,1
Americas,ARG,Argentina,5a,2
Americas,ARG,Argentina,5b,6
Americas,ARG,Argentina,5c,1
Americas,ARG,Argentina,6a,17
Americas,ARG,Argentina,6a+,19
Americas,ARG,Argentina,6b,6
Americas,ARG,Argentina,6b+,17
Americas,ARG,Argentina,6c,12
Americas,ARG,Argentina,6c+,3
Americas,ARG,Argentina,7a,25
Americas,ARG,Argentina,7a+,11
Americas,ARG,Argentina,7b,17
Americas,ARG,Argentina,7b+,7
Americas,ARG,Argentina,7c,12
Americas,ARG,Argentina,7c+,3
Americas,ARG,Argentina,8a,3
Americas,ARG,Argentina,8a+,5
Americas,ARG,Argentina,8b,2
Americas,ARG,Argentina,8b+,2
Americas,ARG,Argentina,8c,1
Americas,BRA,Brazil,5a,24
Americas,BRA,Brazil,5b,26
Americas,BRA,Brazil,5c,39
Americas,BRA,Brazil,6a,96
Americas,BRA,Brazil,6a+,108
Americas,BRA,Brazil,6b,128
Americas,BRA,Brazil,6b+,208
Americas,BRA,Brazil,6c,194
Americas,BRA,Brazil,6c+,78
Americas,BRA,Brazil,7a,125
Americas,BRA,Brazil,7a+,148
Americas,BRA,Brazil,7b,110
Americas,BRA,Brazil,7b+,73
Americas,BRA,Brazil,7c,81
Americas,BRA,Brazil,7c+,28
Americas,BRA,Brazil,8a,22
Americas,BRA,Brazil,8a+,6
Americas,BRA,Brazil,8b,5
Americas,BRA,Brazil,8b+,2
Americas,BRA,Brazil,8c,2
Americas,CAN,Canada,5a,40
Americas,CAN,Canada,5b,43
Americas,CAN,Canada,5c,15
Americas,CAN,Canada,6a,73
Americas,CAN,Canada,6a+,35
Americas,CAN,Canada,6b,28
Americas,CAN,Canada,6b+,44
Americas,CAN,Canada,6c,63
Americas,CAN,Canada,6c+,18
Americas,CAN,Canada,7a,41
Americas,CAN,Canada,7a+,63
Americas,CAN,Canada,7b,41
Americas,CAN,Canada,7b+,39
Americas,CAN,Canada,7c,40
Americas,CAN,Canada,7c+,16
Americas,CAN,Canada,8a,11
